 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês processamento
Caráter atendimento: Urgência
Período:Jan/2008-Ago/2020
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"24 Rio Grande do Norte";4651305,30;6338201,38;6830527,49;6964920,83;7666263,67;7041810,58;7423645,49;6982959,95;7275945,98;6611045,49;6333553,15;6316373,78;6819909,92;7120908,65;7256427,19;5883182,78;8420442,30;7917558,27;8089377,48;8245880,25;8606959,91;8303789,15;8508208,95;8660383,80;8232966,52;7927323,68;8592456,91;8562070,05;9015139,44;8504173,87;8602479,22;8853344,22;8576652,68;8279301,61;8449986,31;8675479,36;8942035,09;9096948,70;9459349,83;9431980,97;8825261,91;8418098,09;9158456,13;8430381,58;8816354,93;8814601,07;8455833,61;8812674,36;8935179,77;8500897,12;9652110,73;8816853,12;8948973,31;8395312,59;9137828,48;9257733,07;8537274,92;9091116,61;8973237,34;7982413,09;7687646,70;7542215,39;8392287,07;9131794,53;9251737,07;9581567,70;9165097,64;8903724,83;9286334,84;9447304,07;8931017,68;8262362,10;8434207,05;8990423,65;9430015,02;8606731,45;9589049,16;9556666,66;9655521,43;9784349,04;8948151,08;10049330,52;9688770,62;8719628,83;9599020,57;9036510,37;9957832,36;9421092,00;9635556,16;9666617,71;10303554,44;10061541,19;10085135,63;10887727,79;9646770,56;8369029,13;10021492,51;9513236,26;10235494,07;10360895,79;10469848,90;10814853,43;10675022,69;9744929,46;8855908,08;10919023,38;9250198,12;9772670,65;9527419,10;9222395,88;9962409,20;10495703,43;10716431,46;9743965,56;10346814,65;10270309,72;9790855,36;9850573,79;9773547,38;9548250,98;10027262,77;9563756,65;10545234,43;11360540,30;11184811,75;10558055,76;12014373,72;11408445,03;10724288,11;11655800,32;10725084,96;8853095,04;13617424,64;10696177,02;12287611,22;12097101,92;12574144,57;11451000,13;11976544,90;12420027,43;11896702,94;12695005,79;12337408,38;11812148,09;12287878,73;11706015,37;12429344,25;11616212,24;12353880,71;13888063,72;17850394,90;15805801,60;1445440071,31
"25 Paraíba";9195909,93;9794078,75;10421420,88;10804966,88;10476307,98;10429615,92;10915476,41;10893976,45;10544929,84;10849269,89;10389805,75;11574398,17;11756138,33;11475721,50;12832843,43;13206069,52;13997877,61;13772495,11;13035027,35;12687331,72;13155801,82;12968515,23;13031067,25;12682184,47;12798498,19;11991300,78;13012622,57;13151813,07;13551974,05;13476908,11;13373114,76;13689546,16;13068441,09;12854788,97;12683821,93;12803447,76;12638811,01;12630060,32;13489274,21;12903105,76;13265569,16;12267624,02;13174442,28;12356616,79;12947395,49;12803519,44;12548670,13;12705921,17;11706026,84;11641499,09;12467849,88;12613956,38;12982183,57;12168977,90;13104370,83;12852159,37;13167316,16;12431313,98;12599951,80;11587261,78;12588735,20;11700650,72;12549865,88;13430222,92;13745172,12;13118589,46;12898481,36;12598317,82;13330238,79;12663976,33;11894980,94;12334731,47;12550408,29;12025578,82;11128033,19;13282672,17;12319075,83;12251544,26;12567273,29;12448638,08;12546204,53;12505798,16;11944953,16;13397246,72;12364487,37;10980212,29;11974514,38;12324582,27;11900708,90;12893690,18;12525672,90;12645397,44;12537497,19;11940646,78;10711721,10;10346220,40;10177192,19;11808583,03;12117528,65;11588935,82;12482460,84;12600196,07;11615880,82;12860790,43;12120657,33;11266403,03;11521954,22;11459450,86;11959956,94;11673034,62;13059721,53;12946030,77;13001777,91;13202035,05;12846916,38;13636419,48;14156939,56;13291184,03;13105626,57;13155104,49;12843504,15;12444403,14;12746242,67;12739511,57;13479660,62;14275053,11;14018590,03;14211510,46;12801061,82;13199679,77;12934338,27;12321520,63;13679844,61;13360627,99;13922518,93;13618364,22;15155792,90;14067295,68;14386011,62;15342670,08;14473786,19;14019350,72;14256243,74;13358054,63;12829112,13;12550954,42;13761628,02;13102294,44;12523915,31;14425019,57;18191291,61;18997000,10;1927059759,47
"26 Pernambuco";8170403,63;14165632,56;18813764,65;23652991,96;21080225,35;20736652,15;20462749,47;22630167,74;22183399,71;20282534,30;20287843,56;24735210,87;21353649,29;22396845,91;24429428,97;25065239,07;26359698,52;25026329,52;25123151,58;24245544,27;25059589,14;25834933,14;24903846,93;23833998,89;24001962,17;21583281,91;24245174,98;26388484,52;25680331,93;25434753,16;24786358,60;27641132,67;24443072,28;27602272,69;27486065,47;26712442,92;26033370,03;25821903,31;25111202,53;28841604,26;28663074,60;28394067,70;30386883,94;29421233,70;28990495,38;31919686,63;28955351,77;28594507,40;30692855,98;30692294,27;31035227,18;33476914,20;32189095,69;34287288,08;32404899,55;33011195,77;31947557,50;30980628,49;33868199,45;32363512,32;32336429,12;33212196,41;35353936,68;36025852,07;38318322,23;38362935,84;38906740,57;40621630,42;39509250,38;42010910,17;37239570,55;43007137,00;39358656,09;39541111,18;39178127,33;39810994,00;43446515,83;42938212,43;43551361,39;44573324,00;44515251,60;45146005,43;45100816,96;42085957,75;43051766,58;40841878,77;42827510,90;44452559,19;46278442,91;46346077,69;44012000,84;46200163,44;43266283,49;40953738,35;44629408,63;40711012,04;44139302,65;42991417,64;45754324,58;45074210,33;44871683,41;44660605,87;45724035,01;46900657,96;45973144,31;44916450,59;42020684,77;44565941,14;43188439,60;42266916,19;49666778,73;46544662,24;49876632,30;49456068,40;50633000,74;49403893,48;47899976,64;48700209,03;47015825,08;46093697,69;45978969,90;43978268,41;47683925,97;46756381,16;51302202,10;48719355,98;51247024,92;49650588,59;47011700,74;47533757,89;47277798,34;47089345,66;50644466,32;45942723,18;49464738,22;48340759,23;53308810,14;49100403,67;50962895,06;51039670,95;49232564,92;53774342,15;49521736,51;48794668,33;52539125,86;48585252,32;50093205,02;39340820,94;49567328,23;55383362,81;60972582,35;63612520,05;5755434156,77
"27 Alagoas";4056690,65;5043787,68;5828857,58;6688760,71;7031342,37;7413243,36;7822156,06;7588277,10;7680097,48;7745065,49;7474679,11;7600264,73;7471989,52;7838384,77;9084400,49;9100443,54;9061802,27;8660515,21;8382521,67;8393226,46;9084457,17;9289348,60;9281940,40;9212390,33;9717335,00;8493735,74;9047292,79;10148262,18;9734156,76;9128466,41;10394820,00;9493654,93;9855556,10;9539427,85;10010859,04;9765281,53;10182212,57;9943341,17;8996582,18;10495048,43;10868997,16;10348156,17;10472982,73;10690689,67;10711339,49;10976489,74;9941350,99;11800655,95;9653586,83;9870658,89;10286234,09;10102258,07;10791359,10;11063131,35;10558593,54;9617145,59;10023699,66;10125407,29;9082518,85;10049885,80;9659122,73;10452724,26;10281842,17;11294834,11;11640675,29;10676782,06;12276944,45;11060717,95;11597845,61;12296819,06;10506028,16;11590480,89;11328209,69;9699984,42;9978602,00;10295147,98;11297662,71;10588813,61;11150937,55;11015282,29;10338784,66;10834624,03;10929372,75;10370240,81;11498235,76;11255743,35;10999567,84;10963331,95;11865985,85;11589173,06;12789613,49;11683687,82;12008045,29;11408291,95;10884241,75;11200610,40;11764647,08;11604320,65;11374336,44;10851372,43;11440577,70;11800587,53;11935838,29;11400758,71;11474753,24;10758373,79;10967848,77;10477529,33;11402632,50;11061435,03;11981015,20;11790282,07;12183678,92;12493046,32;13512165,44;12798155,24;12160745,47;12217661,70;11099357,98;11870628,06;12271943,73;12065718,05;11845074,53;12395550,70;12470064,07;12157149,60;13109335,27;12408484,88;13264725,02;12164318,72;12085079,60;11731978,74;11609267,97;12619390,28;12720410,34;11957906,64;12069419,41;12560395,95;12904131,79;12280472,72;12378460,29;12910820,60;11630818,92;12467241,91;12245143,78;11556682,82;11622233,69;11429573,81;11078148,00;12872308,13;15216428,66;16809451,63;1627454702,28
"28 Sergipe";2348692,84;2923421,87;4011668,29;4090046,07;3989181,74;4380986,36;4395719,13;4093792,39;4238721,03;3683308,51;3388556,85;3034288,35;3342176,19;3091334,45;4072230,53;4664750,79;5360326,21;4538985,16;4679759,00;4538419,36;5077384,19;4656204,49;5144227,53;4831230,10;4755611,68;4014545,37;4278603,98;6277782,00;6675467,70;4743126,07;5963472,67;6032047,86;5462061,67;5311123,63;5900817,91;4576895,40;5508303,45;4533185,08;5681343,42;5269197,36;5183773,20;4435039,35;5403385,51;5767714,08;5105015,02;5800923,41;4659501,08;4852793,44;5427092,41;4829242,29;5550985,04;6535522,76;5334932,11;5869975,95;5874971,37;5852935,75;5154602,47;5307732,09;5144006,81;4618970,61;5192010,41;6043152,12;6942704,87;7013223,04;6325103,53;4953151,85;6496201,59;5564121,87;5206448,18;5210742,26;5062821,35;5165101,20;5197460,65;5342837,28;5492383,51;5167494,89;5396339,41;5771622,21;5596061,74;4752013,55;5585890,60;5475739,86;5101497,28;5160813,66;5817216,50;5276192,48;5748584,81;6377131,16;6497489,62;6265856,65;7134065,64;7392646,90;6818946,26;6961735,70;6740857,55;6005505,36;6771384,39;6254874,90;7110089,67;7625099,61;7802477,41;7049730,77;8389498,66;14446442,04;4245348,92;4797478,88;5417434,74;5677613,50;6411357,52;6344912,13;6090077,86;6573609,28;7611744,57;7210304,81;6926452,48;8033949,05;7541356,59;7750517,00;6947549,20;6679633,67;7196354,45;6518418,76;7145729,61;7761158,45;8391527,20;6760834,40;8314425,79;8511433,25;7636766,38;8279649,42;7815046,68;7072635,21;8165631,32;7956483,13;8273368,85;8501919,46;8974056,97;7479222,53;7915611,57;7831579,07;8115482,56;8411118,50;7349950,24;6980197,77;7956465,17;7452507,67;6903202,05;7752416,85;7050813,52;6978794,38;8703614,85;9581634,33;919966265,01
"29 Bahia";15681817,36;19943524,11;25117761,06;29577639,98;32658489,94;36023767,90;35608666,02;35622951,40;33978087,08;32517676,26;26983304,33;33339334,47;29858685,96;32888483,37;37617081,40;38441729,41;36923004,79;37117882,69;38874221,89;38735965,31;40427293,80;37540579,72;36523100,70;36401255,01;37736021,05;35410612,08;39517608,17;40215879,13;38346335,96;36281852,44;39116538,64;40057147,44;38537542,63;39225623,12;38693670,05;35144084,49;37549628,85;35534900,10;39132589,03;40464956,89;36088556,25;38673164,82;39993904,03;37628257,34;38834148,21;39012452,26;39626179,44;36062858,73;36439930,07;36097294,99;44085372,91;39916043,83;40919723,37;40781855,33;41625343,22;42282636,98;38223829,87;40729148,67;38275984,81;34838556,17;36804764,61;34757515,68;38573610,91;41835027,99;41675356,20;41211070,91;45865354,60;44121342,13;42568693,42;44321862,24;39814922,08;39089963,44;43582549,45;40850456,08;41610750,12;41261834,49;42524663,55;41112461,29;45759466,26;44908191,81;45976943,09;46843007,49;40919846,64;42894840,55;44983031,87;41117392,37;44275541,45;43693111,23;45633110,30;43917713,49;47163893,74;48470775,15;47982531,17;50818152,65;47050688,31;44194029,36;42964971,02;43494461,02;47970793,78;47292824,78;47016300,62;46810646,79;47014504,31;48006010,70;48191723,17;48795830,77;42555086,43;42260641,60;46044113,44;42456334,77;47471963,61;45795767,09;47912449,46;49902448,48;40881964,90;40745733,39;49193581,74;54864001,01;49740244,28;44059307,31;46357861,55;46225186,31;46200381,71;48552072,58;50337388,00;48438688,98;51104288,82;52185033,35;48450887,81;50641077,62;49644101,94;44999391,92;50528117,43;43790435,05;49374397,64;53715487,68;52780686,91;50623738,42;53541631,57;56908139,30;52748186,63;51082605,78;50667594,89;48000524,48;52932064,84;49779920,65;52891209,86;46738430,77;48821599,62;54287963,02;67079363,55;63664396,14;6492221560,74
"31 Minas Gerais";37507273,95;56846019,16;64615606,76;63167349,39;66097609,07;77850843,99;69926662,86;69500813,00;68920588,97;70196318,80;63708472,07;70965338,48;77136378,50;75896145,80;79598685,39;78623302,72;82511868,50;80281748,84;84845867,15;83018180,87;79229389,96;81284620,71;84256434,78;79140368,34;83739171,98;76539627,05;83556523,93;84751000,30;84407046,55;83805483,45;86063987,08;85677747,69;83702161,37;83420014,86;85721024,20;86560730,93;85246012,94;84643146,04;88168570,06;89733604,82;90312804,81;89052884,46;95469452,21;94968427,55;93410719,60;91728487,46;90665017,24;89750123,73;94944263,23;87101377,68;97723292,80;92213409,67;100786084,66;98477775,40;100473562,30;101049225,96;98565308,91;99686389,00;93144229,06;92869875,27;100258488,38;93019268,97;98874451,23;100909591,51;103270276,71;102164193,68;108282910,14;106673543,69;103895891,99;108156971,34;103431684,25;101289782,52;111333777,58;102386662,80;106222691,84;100252208,69;118548286,49;109475166,21;116668852,80;113819881,99;112814080,20;114477610,57;111122058,86;102365857,45;110071164,32;107375473,95;109891903,53;111100356,62;115852311,50;116212357,79;116683341,70;114094325,08;117614583,42;112082450,41;111361973,86;112144078,46;113717697,73;108821500,10;118625733,87;112343377,54;115614725,60;120764491,10;117638581,71;120054420,96;116747205,12;111482712,59;113692450,29;121335231,95;121051232,10;112567789,97;124752318,87;115353949,64;125031645,21;120591410,24;124180295,25;127472138,91;121689335,20;120203269,37;120412792,12;117992002,47;121534921,74;115753343,78;125413683,79;125021860,89;126471120,45;126355662,96;130053159,19;128485423,84;126297574,43;122921137,47;118178666,58;119132542,56;131068342,08;122909697,74;129470667,82;128594086,08;132903876,87;126691004,92;134680684,65;131173877,80;126533104,22;132893403,08;123678353,44;126546448,01;133898910,66;124597853,71;119732688,14;116799933,14;117508063,46;123778514,44;149002270,07;152586981,74;15810257130,50
"32 Espírito Santo";4439494,89;7381410,97;8342776,43;9260669,88;8136027,19;11082705,14;10334170,39;10117279,96;9865498,87;9824806,00;8543428,27;10517568,94;9874962,80;10140465,21;11447161,61;11815130,37;13019745,79;11528849,63;11898508,09;12471270,46;12025892,93;12388753,88;11752210,21;10559479,09;13110610,65;11821728,27;11944169,34;11861266,94;12173157,89;12126992,11;12939002,17;12575194,64;13003544,09;12830113,94;11706208,94;13007615,12;13254148,93;11675765,90;13541423,71;13635269,29;13442217,75;13698985,47;13687579,58;14694093,83;13776454,58;14431875,02;13607782,68;13935955,01;13608431,11;13249706,08;14715101,31;14580071,99;13441131,80;14057331,23;14739216,95;14692600,86;15026902,12;14463565,17;14329452,59;14028437,09;15554474,52;15055604,19;15898468,37;14964673,54;15962999,29;15000690,89;15777620,55;15298412,62;16042634,54;15193573,63;15501091,70;14638163,40;16203843,81;15393636,83;15068676,50;15588564,95;17960343,15;17078931,97;17959216,34;16375419,63;16854660,07;16997075,11;15886933,86;15025518,59;15683109,65;16190141,82;18075631,00;17183509,06;17794436,75;17261414,49;19986326,11;18686156,89;16301101,44;17913130,61;18646723,61;16997366,95;18505855,53;18311746,77;18490412,79;20047231,85;19243655,87;20208251,30;19321947,93;20719256,58;18866928,85;18779031,25;18012201,28;19521525,83;20122137,44;19199595,16;19655594,63;19946792,72;21251853,83;21273460,64;21037884,69;19858654,51;19712632,40;20451128,25;20717869,68;19585545,39;21218119,47;19020683,75;18361753,47;20145425,57;21227762,33;18733197,92;19597228,93;19865008,52;18111818,22;20104273,05;17272424,00;17824561,13;18867432,25;18217679,56;18524575,66;17844044,36;20432605,69;19878569,60;21662165,17;20894294,52;20191509,20;21574904,91;19263824,38;20558273,68;21800063,45;20323741,75;20554553,68;21045668,80;25815257,42;26462547,86;30562001,45;30049034,16;2461027846,66
"33 Rio de Janeiro";15041674,57;18064500,63;27242963,74;30498158,16;30608305,30;31381427,65;32135501,93;34019534,18;32669569,86;30817248,28;27754109,09;32669873,75;31439454,18;31342453,42;33297900,96;31377264,86;35068642,86;32470889,39;35917181,70;35640159,52;33800554,62;33522881,20;35203033,70;32916869,12;31300154,04;34531708,51;36724259,29;35276639,17;37974965,54;36889004,89;39108058,32;38679320,29;37241629,56;36985900,52;36267571,02;36976390,74;35896820,82;35620363,02;37872253,53;38158256,22;39886857,44;38075890,52;37122715,85;36278052,24;34714359,10;37243293,15;35925334,77;37130117,69;35211435,53;34915314,76;40225075,54;37809991,07;40831547,25;41754306,95;41239980,38;40969319,25;37967518,91;39429517,02;35730382,98;33555927,62;36485450,77;34783266,25;37236656,08;36728761,55;39761252,66;36045668,38;40706227,88;40503131,58;38901352,20;37695954,72;38130230,32;36935404,38;37357192,18;39554403,24;39072855,51;42707121,90;44951184,14;42062666,16;47017237,31;46466295,48;45754908,25;46312860,46;42387298,99;40258328,75;44173602,39;44285284,30;45900352,95;47253947,50;45929482,38;44881185,70;49595957,64;46054250,97;46767805,14;45819702,83;45433712,74;43874422,47;44639985,47;43772392,18;46800790,49;45942267,33;45099109,14;44975200,51;47375902,07;46791634,45;45490945,95;43882702,19;44007483,92;46440877,36;41535255,67;42773683,95;49990600,57;47160751,14;53232867,04;51284600,74;54325777,27;56734982,91;51017557,66;52511186,74;52262373,47;49526432,07;51128970,05;51502702,19;53037619,62;53816016,41;56052177,13;55279618,03;58746742,96;56961038,71;54239570,34;55223077,19;52037339,23;49074677,84;57068450,70;50999897,98;54996500,49;51765945,80;58377939,04;54379495,90;56937973,45;56170912,03;53925800,36;57783954,88;54538669,28;53468940,76;58030607,60;50568578,85;51593599,01;48692543,92;60999058,38;62151558,90;70194928,75;67824224,31;6529350292,70
"35 São Paulo";60231006,43;89772592,29;100354794,27;101864068,21;120197095,81;118531590,24;124491900,98;119389110,81;120541036,42;115038634,93;105397580,29;124554172,69;120627815,00;122339773,68;136249797,24;132244698,66;141807629,79;143123815,93;143245028,97;146702135,55;145081056,59;144429323,69;142705057,25;133970206,31;143487515,18;134311580,56;147946136,50;151256126,32;150699503,82;149594223,11;153194930,44;154812576,33;150202814,54;143631403,29;158084897,63;156228705,31;151186588,06;152804317,43;160282086,41;155577481,62;161299481,30;152441489,09;165100058,68;157314924,01;160331648,28;157683521,41;156513498,57;155489988,92;149219382,67;150582215,68;164286534,85;157072478,61;167066912,23;160549754,56;164788541,30;173027253,15;162078149,70;162992164,39;158342081,01;147178512,60;165707689,57;157838199,54;160336777,12;171475658,31;173243661,80;165499422,79;171205347,48;177108675,61;170551614,02;174375091,58;160503293,43;154621685,67;172945107,49;161403025,23;165594786,81;167308796,82;177691907,47;171098248,02;182864886,50;181834532,95;174162543,04;173103508,71;166882880,58;165469183,51;177151450,62;164562990,21;177704096,36;175125436,10;180539356,22;181420173,67;184178436,47;180455675,65;180820432,12;173046436,52;167112243,44;172800019,82;169915708,92;169651951,33;179515273,50;176950233,57;181073899,19;186601744,42;184778568,20;182720494,81;179122913,67;171192943,47;174486877,38;182823787,99;178007119,20;168773325,46;190858189,90;177500249,65;200423149,52;180192846,58;196242726,46;190770683,89;183207272,26;185725796,38;181806500,38;184228902,62;190598271,46;178022721,65;189061178,01;188794271,88;195006309,07;191435418,61;194739788,19;192557208,74;186137279,15;191375182,84;181677433,56;182303465,92;200929896,22;181617783,36;190300759,05;195301982,75;200763870,29;191545841,99;200890131,26;204387142,93;195506380,15;199768195,35;191463555,89;190597694,51;206311003,10;193981793,99;201898524,52;187484678,71;214563117,94;244337181,19;298763080,11;278051975,30;25514036947,28
"41 Paraná";28553193,73;41070151,53;40695346,74;40309877,31;42130465,61;43428673,63;43279297,28;42877878,48;43116409,22;42424813,90;39065680,67;47516526,71;51146423,38;47556033,61;49893541,19;48884628,09;49833307,96;49983152,18;51574627,33;51380977,74;50129517,04;50239251,17;50976947,91;50669535,74;51679087,31;48552181,39;54388448,69;53619377,86;55096892,16;55238305,37;55056786,62;56555253,39;54807286,20;56031986,91;57403622,64;56810992,32;59276029,52;54820426,95;58071487,43;58719300,38;57312989,44;58792372,70;60714342,57;60062834,09;56828466,21;58444169,95;56736019,40;56880415,12;59372437,87;55981368,80;59675888,73;57778539,53;63131891,35;61823541,43;63479008,40;64206331,20;59000597,33;62433009,91;61536899,47;57508232,08;61796796,87;58303908,31;60848085,93;63288037,94;65673856,68;63009805,44;64096579,55;64695331,54;67260565,51;63450880,35;65122404,19;61241296,21;63176621,12;64350879,80;62480812,79;63769360,04;66896731,10;64163381,87;67943340,62;69286450,52;68893024,57;69993215,20;68141770,63;62690618,47;67196711,72;65161585,03;68351754,70;67527987,53;68532749,15;70886637,45;72000521,09;74458951,84;71628109,17;72039646,22;70610459,11;71757158,52;74354517,64;72440446,73;75092780,60;75782628,81;80253253,47;78822109,25;81840407,68;79721749,95;80210949,45;78776736,17;78120257,02;77694128,21;79316414,67;77718284,48;82355265,31;82378866,93;85220987,10;83967979,72;88135249,92;88483537,36;84701072,12;86573085,20;85805997,25;87267908,10;90829870,89;83850487,57;87282536,84;89843906,62;93540043,33;92716327,31;94516209,22;95729370,76;92545793,65;92349004,31;92569505,68;88992412,23;95992574,24;90741715,10;93912276,30;91036147,57;94597627,53;93969634,62;93935564,58;94270794,37;95267142,00;98221759,63;92903978,80;90331359,78;94240674,13;95882959,76;90942747,86;76478448,32;87957625,33;80734553,78;91585731,00;110362177,60;10458454679,50
"42 Santa Catarina";14042981,20;21576090,52;22577436,47;23079315,32;22593664,88;24939537,33;26080575,74;26526653,53;25423284,30;27490651,71;21630696,85;27071418,13;31964430,25;25550931,87;30133497,81;29558327,51;30478322,46;29842378,33;32131339,36;32325928,58;32692900,09;30904090,70;31423063,31;29543122,21;31584236,08;26550098,49;30367024,16;33406874,30;30577805,99;31641837,79;31558958,01;33543920,32;32352453,34;33805083,30;34374735,71;33767044,46;32144641,89;31745115,34;32693615,32;32919354,34;36206605,09;34860212,38;35232889,67;35457391,03;34668498,47;36189320,29;35385264,09;33604662,72;34734829,29;31375088,58;34805327,37;33253566,29;36389108,37;36658282,80;36826761,86;38566896,09;34433243,81;35221879,89;32468893,58;31776888,59;35108923,40;33207638,18;34797460,13;37811840,18;36703119,01;36343310,27;39402289,77;36520042,41;36722310,27;37698432,64;36845429,03;36184624,58;37322698,60;36387127,96;37406194,83;35889512,30;38711744,31;38234329,60;41475284,13;43264152,29;43007074,95;41111163,75;38605477,28;38527346,62;39089626,99;38437785,28;38550035,08;40419646,05;38819379,10;43025732,24;42566804,03;41299369,94;42517471,05;41165053,01;38346549,47;40915457,59;39997744,71;39495865,58;39629030,78;41349358,68;43835379,80;43169117,36;42718741,18;44398016,23;43410724,97;42165430,35;41728511,53;39582153,47;45039787,45;38626941,13;44679386,56;40184278,40;46153294,93;44456693,79;43091030,00;45708511,84;42170939,51;43380401,87;42102787,27;40877803,59;40499164,51;39648697,19;45024587,38;44293628,91;45411198,75;46132489,40;45785030,80;47100730,65;46299541,34;46859572,74;44422013,34;42755197,27;46946150,39;44242507,89;44417075,64;46311572,42;48140944,71;47712002,96;50248627,42;50765198,31;49331471,75;50029184,45;45912038,51;47065495,92;46667879,19;49191298,99;47883126,99;42551261,67;46015521,77;45863781,93;55145849,21;57043741,51;5766837998,77
"43 Rio Grande do Sul";22335359,51;43071807,31;38948384,15;43389308,28;36507969,63;40105489,29;43496424,75;42284408,54;41350329,74;40302122,06;38464931,86;44497347,73;43633823,80;43964179,51;48270847,40;46793619,45;46475782,71;47163397,88;48645287,00;52769294,76;51069512,19;50254533,42;48448932,36;47819157,99;48815722,02;46457601,12;46748824,32;49535008,44;51309508,35;49620859,61;51351186,48;51152244,76;50179798,51;51354906,93;51890093,64;51978898,89;48211052,02;46744315,48;52356898,39;50079185,62;54364602,22;58633747,21;60520619,54;54381203,30;56646443,21;56414813,03;57793469,97;52784291,08;48948464,50;53817304,92;60341305,06;54732722,68;58228567,01;61401084,54;62469096,38;60825214,50;56670249,66;51505001,41;57978789,82;49871543,63;58195060,83;56823932,20;62764743,70;63259108,31;65033192,12;57034631,01;64816119,78;65341184,80;59161572,52;60218806,89;57517089,85;57959213,82;59888086,93;59212490,84;60993038,18;63112424,52;63825767,15;63402368,14;67701190,49;66926666,40;65593218,76;68335147,39;64140940,35;61268910,01;64075220,33;61295711,59;66680121,99;68445571,35;67482771,02;68222313,73;71144239,16;70928966,38;66810315,95;68401939,48;68955439,92;62954454,15;61226754,05;64652901,90;66207805,07;65663394,93;68520641,24;68544339,81;73206267,19;72887316,15;60710604,49;74792597,71;66978413,06;66992142,91;62711088,86;56631701,33;66473134,32;64462559,14;73381031,91;68508865,01;73487536,02;70905361,55;71389916,55;68575927,53;69645433,28;62933955,85;68375391,42;61268892,09;63795952,63;66485736,07;65492675,81;67032888,76;65903573,34;69464041,20;68434608,25;66477299,35;65903180,24;64205950,15;66817732,91;64503711,12;62980022,31;68070584,05;67531540,09;66677820,99;71742231,00;70642760,07;67778113,27;71236813,70;64679290,42;61728846,19;66821900,28;64376752,57;72696534,95;61780086,57;61449681,66;65125735,01;78431820,70;79289001,69;9040789718,33
