,datahora,nome_drs,pacientes_uti_mm7d,total_covid_uti_mm7d,ocupacao_leitos,pop,leitos_pc,internacoes_7d,internacoes_7d_l,internacoes_7v7
55,11/10/2020,DRS 02 Araçatuba,60.0,120.0,50.0,764041.0,15.71,145.0,118.0,22.88
56,11/10/2020,DRS 03 Araraquara,46.71,123.43,37.84,991435.0,12.45,264.0,228.0,15.79
57,11/10/2020,DRS 04 Baixada Santista,106.86,411.71,25.96,1831884.0,22.47,184.0,206.0,-10.68
58,11/10/2020,DRS 05 Barretos,57.0,91.0,62.64,425090.0,21.41,162.0,175.0,-7.43
59,11/10/2020,DRS 06 Bauru,152.0,228.0,66.67,1741281.0,13.09,347.0,345.0,0.58
60,11/10/2020,DRS 07 Campinas,260.57,670.57,38.86,4562125.0,14.7,522.0,554.0,-5.78
61,11/10/2020,DRS 08 Franca,56.0,110.0,50.91,696336.0,15.8,129.0,130.0,-0.77
62,11/10/2020,DRS 09 Marília,65.57,159.43,41.13,1109670.0,14.37,201.0,160.0,25.63
63,11/10/2020,DRS 10 Piracicaba,81.43,242.57,33.57,1539600.0,15.76,176.0,181.0,-2.76
64,11/10/2020,DRS 11 Presidente Prudente,49.71,78.14,63.62,752260.0,10.39,172.0,164.0,4.88
65,11/10/2020,DRS 12 Registro,11.43,39.0,29.31,278754.0,13.99,36.0,42.0,-14.29
66,11/10/2020,DRS 13 Ribeirão Preto,157.43,309.0,50.95,1477530.0,20.91,412.0,385.0,7.01
67,11/10/2020,DRS 14 São João da Boa Vista,54.0,126.71,42.62,809836.0,15.65,144.0,120.0,20.0
68,11/10/2020,DRS 15 São José do Rio Preto,260.86,443.71,58.79,1570421.0,28.25,689.0,638.0,7.99
69,11/10/2020,DRS 16 Sorocaba,110.86,234.0,47.38,2461760.0,9.51,235.0,282.0,-16.67
70,11/10/2020,DRS 17 Taubaté,148.71,432.71,34.37,2489629.0,17.38,347.0,371.0,-6.47
71,11/10/2020,Estado de São Paulo,3686.14,8601.86,42.85,44639899.0,19.27,8275.0,8183.0,1.12
72,12/10/2020,DRS 01 Grande São Paulo,1990.29,4748.71,41.91,21138247.0,22.47,4034.0,4106.0,-1.75
73,12/10/2020,DRS 02 Araçatuba,60.86,120.14,50.66,764041.0,15.72,144.0,127.0,13.39
74,12/10/2020,DRS 03 Araraquara,46.86,123.57,37.92,991435.0,12.46,252.0,228.0,10.53
75,12/10/2020,DRS 04 Baixada Santista,106.57,410.71,25.95,1831884.0,22.42,196.0,192.0,2.08
76,12/10/2020,DRS 05 Barretos,56.43,91.0,62.01,425090.0,21.41,152.0,177.0,-14.12
77,12/10/2020,DRS 06 Bauru,151.86,228.43,66.48,1741281.0,13.12,327.0,345.0,-5.22
78,12/10/2020,DRS 07 Campinas,255.71,661.57,38.65,4562125.0,14.5,514.0,571.0,-9.98
79,12/10/2020,DRS 08 Franca,55.43,110.0,50.39,696336.0,15.8,114.0,133.0,-14.29
80,12/10/2020,DRS 09 Marília,63.57,160.14,39.7,1109670.0,14.43,191.0,173.0,10.4
